project_id,repo,path,bytes,lines,sha256,role,#,confidence,basis
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/ch32v205_usbfs_device.c,24717,564,12c833ba12eefde35ff8b186459b1777970c186b3742f19bb479f54c5eed9068,usb,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/ch32v205_usbfs_device.c
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/ch32v205_usbfs_device.h,3413,83,4b916a80816838752721a00931a9bc6102a8d273f65c8e97accbd7310e1a505e,usb,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/ch32v205_usbfs_device.h
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/ch32v205_usbhs_device.c,24921,600,ede18afcbc922dc6e89a6e36a6a5c8b0d50d44cc1cd66072003fa2420b9104bc,usb,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/ch32v205_usbhs_device.c
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/ch32v205_usbhs_device.h,3587,88,2a9a27b7046357c2277a1c23a996c71affb7e466909a00e2922b1ee67d78b4b4,usb,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/ch32v205_usbhs_device.h
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/usb_desc.c,8624,224,67663dbf908d27affa3bb447abc245bc53f7dea1604d5699c8156227ce0b3f66,usb,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/usb_desc.c
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/usb_desc.h,2651,72,89913eb356469b2ca25ff53e405083593979c4af65d8ed5295144b5af30691d8,usb,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/usb_desc.h
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/usb_inf.c,3297,113,aed693f97e40f9e56d9017e9bb535af3a3e45127ce0b350c641cafb19347dc39,usb,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/usb_inf.c
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/usb_inf.h,1919,46,c3a9b5aa5c49c3c899b5f39f01318cac31cba979ef0ba967f49fba3065378dad,usb,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/USB/usb_inf.h
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/ch32v205_conf.h,1330,44,161cfbc416009ad15c136b20b96258aa52e9f47c3359cfb3717b9c431c4fa5e3,support,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/ch32v205_conf.h
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/ch32v205_it.c,1354,47,20a1bd2405dbdcbd1d49813e10b699a7bef59a88f220b1d82c356d24df2ffe03,support,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/ch32v205_it.c
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/ch32v205_it.h,741,21,6e949d770d1a51148625465db5460beb66aa1e134b9c6ed616256bc590490046,support,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/ch32v205_it.h
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/flash.c,991,32,3f8004295572053f7248dda749a25043b3b664263bf99633ccc0b22bd027d5e9,flash,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/flash.c
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/flash.h,754,23,1b93864f2b947992fc0599474899883bb64a834853d4998338fb744ad1df3724,flash,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/flash.h
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.c,11919,423,2705041b4a8a0cf9bc9bb53760aa4d83258b6f68e7c91620fbaae53db4349d63,protocol,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.c
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h,1869,84,0209a2a1ce57e25a6a1081524d95140ba348b24b8fa94d409b1870bbd8d08cb0,protocol,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.h
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/main.c,3021,107,f3da164538f626a5cc7e8d1ab902331bc5a8e197ccb51024e71855243c79426d,entry,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/main.c
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/system_ch32v205.c,26665,875,57c3c658fa66aa42bc6d3ea4ccbbb09f8017f430af4d03ad2023f38eaa4d7411,startup,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/system_ch32v205.c
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/system_ch32v205.h,1030,33,22076638e7a6f158878089b2e2c7e48789270b0eb7b6291235996dd6b2016be0,startup,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/system_ch32v205.h
evt-v205-app,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_APP/Ld/Link.ld,3587,160,1f9db591c66630de34f931a0cb770124e65bae68b85ce16a318898c92b6d07fc,linker,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_APP/Ld/Link.ld
evt-v205-app,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_APP/User/USB/ch32v205_usbfs_device.c,21381,559,f998f7b0817bd15c8287f4f9092e9ab819d24b4f23660e717ab096af5c68209b,usb,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_APP/User/USB/ch32v205_usbfs_device.c
evt-v205-app,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_APP/User/USB/ch32v205_usbfs_device.h,3413,83,4b916a80816838752721a00931a9bc6102a8d273f65c8e97accbd7310e1a505e,usb,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_APP/User/USB/ch32v205_usbfs_device.h
